study_accession	field	fold	none_found	chosen_pmcid	fulltext_source	is_full_text	paper_resolved	paper_url	paper_title	manual_pdf_present	manual_pdf_readable	supp_present	gate_status	n_blank	per_sample_method	zero_reason	n_whole_field	n_per_sample	n_escalation	remaining_est	escalation_status	resolution_state	recoverability
PRJDB5117	collection_date	sub10	False		abstract	False	False	https://doi.org/10.1007/s15010-017-0986-3	Nosocomial transmission of carbapenem-resistant Klebsiella p	False	False	False	not_gated	0			0	0	0	0	not_generated	FILLED	not_gated
PRJDB5117	isolation_source	sub10	False		abstract	False	False	https://doi.org/10.1007/s15010-017-0986-3	Nosocomial transmission of carbapenem-resistant Klebsiella p	False	False	False	residual_per_sample	4		NO_PMCID	0	0	0	4	not_generated	ACTIONABLE	fetch_paper
PRJDB5117	host	sub10	False		abstract	False	False	https://doi.org/10.1007/s15010-017-0986-3	Nosocomial transmission of carbapenem-resistant Klebsiella p	False	False	False	not_gated	0			0	0	0	0	not_generated	FILLED	not_gated
PRJDB5295	country	sub10	True		none	False	False			False	False	False	not_gated	0			0	0	0	0	not_generated	FILLED	not_gated
PRJDB5295	collection_date	sub10	True		none	False	False			False	False	False	not_gated	0			0	0	0	0	not_generated	FILLED	not_gated
PRJDB5295	isolation_source	sub10	True		none	False	False			False	False	False	covered	1			1	0	0	1	not_generated	FILLED	whole_field
PRJDB5295	host	sub10	True		none	False	False			False	False	False	covered	1			1	0	0	1	not_generated	FILLED	whole_field
PRJDB5948	country	sub10	True		none	False	False			False	False	False	not_gated	0			0	0	0	0	not_generated	FILLED	not_gated
PRJDB5948	collection_date	sub10	True		none	False	False			False	False	False	not_gated	0			0	0	0	0	not_generated	FILLED	not_gated
PRJDB5948	isolation_source	sub10	True		none	False	False			False	False	False	residual_per_sample	1		NO_PMCID	0	0	0	1	not_generated	EXHAUSTED	no_paper_findable
PRJDB5948	host	sub10	True		none	False	False			False	False	False	not_gated	0			0	0	0	0	not_generated	FILLED	not_gated
PRJDB6797	country	sub10	True		none	False	False			False	False	False	not_gated	0			0	0	0	0	not_generated	FILLED	not_gated
PRJDB6797	collection_date	sub10	True		none	False	False			False	False	False	not_gated	0			0	0	0	0	not_generated	FILLED	not_gated
PRJDB6797	isolation_source	sub10	True		none	False	False			False	False	False	covered	1			1	0	0	1	not_generated	FILLED	whole_field
