study_accession	field	n_records	structured_nonnull_frac	verdict
PRJNA1133902	smoking_status	2	0.0	needs_paper
PRJNA1133902	ast	2	0.0	needs_paper
PRJNA1136428	country	4	0.0	needs_paper
PRJNA1136428	collection_date	4	1.0	answered_by_data
PRJNA1136428	isolation_source	4	1.0	answered_by_data
PRJNA1136428	host	4	1.0	answered_by_data
PRJNA1136428	cf_status	4	0.0	needs_paper
PRJNA1136428	smoking_status	4	0.0	needs_paper
PRJNA1136428	ast	4	0.0	needs_paper
PRJNA1165220	country	182	1.0	answered_by_data
PRJNA1165220	collection_date	182	1.0	answered_by_data
PRJNA1165220	isolation_source	182	0.0	needs_paper
PRJNA1165220	host	182	1.0	answered_by_data
PRJNA1165220	cf_status	182	0.0	needs_paper
PRJNA1165220	smoking_status	182	0.0	needs_paper
PRJNA1165220	ast	182	0.0	needs_paper
PRJNA1169404	country	4	1.0	answered_by_data
PRJNA1169404	collection_date	4	1.0	answered_by_data
PRJNA1169404	isolation_source	4	1.0	answered_by_data
PRJNA1169404	host	4	1.0	answered_by_data
PRJNA1169404	cf_status	4	0.0	needs_paper
PRJNA1169404	smoking_status	4	0.0	needs_paper
PRJNA1169404	ast	4	0.0	needs_paper
PRJNA1169681	country	3	0.0	needs_paper
PRJNA1169681	collection_date	3	0.0	needs_paper
PRJNA1169681	isolation_source	3	0.0	needs_paper
PRJNA1169681	host	3	0.0	needs_paper
PRJNA1169681	cf_status	3	0.0	needs_paper
PRJNA1169681	smoking_status	3	0.0	needs_paper
PRJNA1169681	ast	3	0.0	needs_paper
PRJNA1177655	country	5	1.0	answered_by_data
PRJNA1177655	collection_date	5	1.0	answered_by_data
PRJNA1177655	isolation_source	5	0.0	needs_paper
PRJNA1177655	host	5	1.0	answered_by_data
PRJNA1177655	cf_status	5	0.0	needs_paper
PRJNA1177655	smoking_status	5	0.0	needs_paper
PRJNA1177655	ast	5	0.0	needs_paper
PRJNA1209868	country	19	1.0	answered_by_data
PRJNA1209868	collection_date	19	1.0	answered_by_data
PRJNA1209868	isolation_source	19	1.0	answered_by_data
PRJNA1209868	host	19	0.0	needs_paper
PRJNA1209868	cf_status	19	0.0	needs_paper
PRJNA1209868	smoking_status	19	0.0	needs_paper
PRJNA1209868	ast	19	0.0	needs_paper
PRJNA1211657	country	43	1.0	answered_by_data
PRJNA1211657	collection_date	43	1.0	answered_by_data
PRJNA1211657	isolation_source	43	1.0	answered_by_data
PRJNA1211657	host	43	0.953	answered_by_data
PRJNA1211657	cf_status	43	0.0	needs_paper
PRJNA1211657	smoking_status	43	0.0	needs_paper
PRJNA1211657	ast	43	0.0	needs_paper
PRJNA1215975	country	11	1.0	answered_by_data
PRJNA1215975	collection_date	11	1.0	answered_by_data
PRJNA1215975	isolation_source	11	0.909	answered_by_data
PRJNA1215975	host	11	1.0	answered_by_data
PRJNA1215975	cf_status	11	0.0	needs_paper
PRJNA1215975	smoking_status	11	0.0	needs_paper
PRJNA1215975	ast	11	0.0	needs_paper
PRJNA1215977	country	2	1.0	answered_by_data
PRJNA1215977	collection_date	2	1.0	answered_by_data
PRJNA1215977	isolation_source	2	1.0	answered_by_data
PRJNA1215977	host	2	1.0	answered_by_data
PRJNA1215977	cf_status	2	0.0	needs_paper
PRJNA1215977	smoking_status	2	0.0	needs_paper
PRJNA1215977	ast	2	0.0	needs_paper
PRJNA1221978	country	8	1.0	answered_by_data
PRJNA1221978	collection_date	8	0.75	partial
PRJNA1221978	isolation_source	8	0.0	needs_paper
PRJNA1221978	host	8	0.0	needs_paper
PRJNA1221978	cf_status	8	0.0	needs_paper
PRJNA1221978	smoking_status	8	0.0	needs_paper
PRJNA1221978	ast	8	0.0	needs_paper
PRJNA1236821	country	21	1.0	answered_by_data
PRJNA1236821	collection_date	21	0.0	needs_paper
PRJNA1236821	isolation_source	21	1.0	answered_by_data
PRJNA1236821	host	21	1.0	answered_by_data
PRJNA1236821	cf_status	21	0.0	needs_paper
PRJNA1236821	smoking_status	21	0.0	needs_paper
PRJNA1236821	ast	21	0.0	needs_paper
PRJNA1238535	country	1	1.0	answered_by_data
PRJNA1238535	collection_date	1	1.0	answered_by_data
PRJNA1238535	isolation_source	1	1.0	answered_by_data
PRJNA1238535	host	1	0.0	needs_paper
PRJNA1238535	cf_status	1	0.0	needs_paper
PRJNA1238535	smoking_status	1	0.0	needs_paper
PRJNA1238535	ast	1	0.0	needs_paper
PRJNA184888	country	1	0.0	needs_paper
PRJNA184888	collection_date	1	0.0	needs_paper
PRJNA184888	isolation_source	1	0.0	needs_paper
PRJNA184888	host	1	0.0	needs_paper
PRJNA184888	cf_status	1	0.0	needs_paper
PRJNA184888	smoking_status	1	0.0	needs_paper
PRJNA184888	ast	1	0.0	needs_paper
PRJNA191785	country	10	0.0	needs_paper
PRJNA191785	collection_date	10	0.0	needs_paper
PRJNA191785	isolation_source	10	0.0	needs_paper
PRJNA191785	host	10	0.0	needs_paper
PRJNA191785	cf_status	10	0.0	needs_paper
PRJNA191785	smoking_status	10	0.0	needs_paper
PRJNA191785	ast	10	0.0	needs_paper
PRJNA191786	country	10	0.0	needs_paper
PRJNA191786	collection_date	10	0.0	needs_paper
PRJNA191786	isolation_source	10	0.0	needs_paper
PRJNA191786	host	10	0.0	needs_paper
PRJNA191786	cf_status	10	0.0	needs_paper
PRJNA191786	smoking_status	10	0.0	needs_paper
PRJNA191786	ast	10	0.0	needs_paper
PRJNA191787	country	10	0.0	needs_paper
PRJNA191787	collection_date	10	0.0	needs_paper
PRJNA191787	isolation_source	10	0.0	needs_paper
PRJNA191787	host	10	0.0	needs_paper
PRJNA191787	cf_status	10	0.0	needs_paper
PRJNA191787	smoking_status	10	0.0	needs_paper
PRJNA191787	ast	10	0.0	needs_paper
PRJNA191788	country	10	0.0	needs_paper
PRJNA191788	collection_date	10	0.0	needs_paper
PRJNA191788	isolation_source	10	0.0	needs_paper
PRJNA191788	host	10	0.0	needs_paper
PRJNA191788	cf_status	10	0.0	needs_paper
PRJNA191788	smoking_status	10	0.0	needs_paper
PRJNA191788	ast	10	0.0	needs_paper
PRJNA191789	country	10	0.0	needs_paper
PRJNA191789	collection_date	10	0.0	needs_paper
PRJNA191789	isolation_source	10	0.0	needs_paper
PRJNA191789	host	10	0.0	needs_paper
PRJNA191789	cf_status	10	0.0	needs_paper
PRJNA191789	smoking_status	10	0.0	needs_paper
PRJNA191789	ast	10	0.0	needs_paper
PRJNA203564	country	10	0.0	needs_paper
PRJNA203564	collection_date	10	0.0	needs_paper
PRJNA203564	isolation_source	10	0.0	needs_paper
PRJNA203564	host	10	0.0	needs_paper
PRJNA203564	cf_status	10	0.0	needs_paper
PRJNA203564	smoking_status	10	0.0	needs_paper
PRJNA203564	ast	10	0.0	needs_paper
PRJNA203565	country	10	0.0	needs_paper
PRJNA203565	collection_date	10	0.0	needs_paper
PRJNA203565	isolation_source	10	0.0	needs_paper
PRJNA203565	host	10	0.0	needs_paper
PRJNA203565	cf_status	10	0.0	needs_paper
PRJNA203565	smoking_status	10	0.0	needs_paper
PRJNA203565	ast	10	0.0	needs_paper
PRJNA203566	country	10	0.0	needs_paper
PRJNA203566	collection_date	10	0.0	needs_paper
PRJNA203566	isolation_source	10	0.0	needs_paper
PRJNA203566	host	10	0.0	needs_paper
PRJNA203566	cf_status	10	0.0	needs_paper
