study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB21605	SAMEA104208364	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867382
PRJEB21605	SAMEA104208365	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867383
PRJEB21605	SAMEA104208366	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867384
PRJEB21605	SAMEA104208367	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867385
PRJEB21605	SAMEA104208368	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867386
PRJEB21605	SAMEA104208369	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867387
PRJEB21605	SAMEA104208370	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867388
PRJEB21605	SAMEA104208371	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867389
PRJEB21605	SAMEA104208372	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867390
PRJEB21605	SAMEA104208373	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867391
PRJEB21605	SAMEA104208374	collection_date		2016	per_sample	PRJEB21605.csv:ERS1867392
PRJEB21605	SAMEA104208375	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867393
PRJEB21605	SAMEA104208376	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867394
PRJEB21605	SAMEA104208377	collection_date		2016	per_sample	PRJEB21605.csv:ERS1867395
PRJEB21605	SAMEA104208378	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867396
PRJEB21605	SAMEA104208380	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867398
