study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB8667	SAMEA7609123	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609171	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609174	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609185	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609223	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609224	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609231	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609265	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609281	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609304	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609371	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609374	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609376	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609379	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609455	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609526	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609560	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609568	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609569	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609579	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609581	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609588	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609590	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609595	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609615	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609622	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609631	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609638	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9333663	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9333667	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9333749	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9333841	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9333846	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9333888	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334070	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334263	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334294	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334344	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334350	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334351	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334355	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334379	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334418	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334491	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334506	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334508	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334510	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334512	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334514	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334517	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334619	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334699	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334721	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334733	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334741	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334744	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334745	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334767	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334769	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334787	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334804	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334809	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334842	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334843	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9334916	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA9403871	host		human	curator_escalation	curator escalation
