study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB30913	SAMEA5232559	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039986
PRJEB30913	SAMEA5232560	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039987
PRJEB30913	SAMEA5232560	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039987
PRJEB30913	SAMEA5232561	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039988
PRJEB30913	SAMEA5232561	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039988
PRJEB30913	SAMEA5232562	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039989
PRJEB30913	SAMEA5232562	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039989
PRJEB30913	SAMEA5232563	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039990
PRJEB30913	SAMEA5232563	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039990
PRJEB30913	SAMEA5232564	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039991
PRJEB30913	SAMEA5232564	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039991
PRJEB30913	SAMEA5232565	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039992
PRJEB30913	SAMEA5232565	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039992
PRJEB30913	SAMEA5232566	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039993
PRJEB30913	SAMEA5232566	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039993
PRJEB30913	SAMEA5232567	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039994
PRJEB30913	SAMEA5232567	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039994
PRJEB30913	SAMEA5232568	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039995
PRJEB30913	SAMEA5232568	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039995
PRJEB30913	SAMEA5232569	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039996
PRJEB30913	SAMEA5232569	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039996
PRJEB30913	SAMEA5232570	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039997
PRJEB30913	SAMEA5232570	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039997
PRJEB30913	SAMEA5232571	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039998
PRJEB30913	SAMEA5232571	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039998
PRJEB30913	SAMEA5232572	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039999
PRJEB30913	SAMEA5232572	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039999
PRJEB30913	SAMEA5232573	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040000
PRJEB30913	SAMEA5232573	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040000
PRJEB30913	SAMEA5232574	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040001
PRJEB30913	SAMEA5232574	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040001
PRJEB30913	SAMEA5232575	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040002
PRJEB30913	SAMEA5232575	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040002
PRJEB30913	SAMEA5232576	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040003
PRJEB30913	SAMEA5232576	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040003
PRJEB30913	SAMEA5232577	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040004
PRJEB30913	SAMEA5232577	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040004
PRJEB30913	SAMEA5232578	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040005
PRJEB30913	SAMEA5232578	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040005
PRJEB30913	SAMEA5232579	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040006
PRJEB30913	SAMEA5232579	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040006
PRJEB30913	SAMEA5232580	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040007
PRJEB30913	SAMEA5232580	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040007
PRJEB30913	SAMEA5232581	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040008
PRJEB30913	SAMEA5232581	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040008
PRJEB30913	SAMEA5232582	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040009
PRJEB30913	SAMEA5232582	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040009
PRJEB30913	SAMEA5232583	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040010
PRJEB30913	SAMEA5232583	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040010
PRJEB30913	SAMEA5232584	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040011
PRJEB30913	SAMEA5232584	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040011
PRJEB30913	SAMEA5232585	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040012
PRJEB30913	SAMEA5232585	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040012
PRJEB30913	SAMEA5232586	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040013
PRJEB30913	SAMEA5232586	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040013
PRJEB30913	SAMEA5232587	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040014
PRJEB30913	SAMEA5232587	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040014
PRJEB30913	SAMEA5232588	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3040015
