study_accession	sample_accession	field	ena_value	filled_value	source
PRJEB37378	SAMEA10302777	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302678	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302778	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302679	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302705	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302708	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302709	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303461	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303460	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303474	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302823	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302716	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302845	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303478	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303480	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302947	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302721	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302724	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303483	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303044	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302725	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303170	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302728	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302730	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303193	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302729	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303084	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303092	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302737	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302736	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302741	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302744	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302747	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302749	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302750	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302752	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302751	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302754	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302756	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302764	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302766	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302776	country		Malawi	curator_escalation
PRJEB29740	SAMEA9800458	country		India	per_sample
PRJEB29740	SAMEA9800481	country		India	per_sample
PRJEB29740	SAMEA9800482	country		India	per_sample
PRJEB29740	SAMEA9800487	country		India	per_sample
PRJEB29740	SAMEA9800494	country		India	per_sample
PRJEB29740	SAMEA9800501	country		India	per_sample
PRJEB29740	SAMEA9800503	country		India	per_sample
PRJEB29740	SAMEA9800505	country		India	whole_field
PRJEB29740	SAMEA9800570	country		India	per_sample
PRJEB29740	SAMEA9800572	country		India	per_sample
PRJEB29740	SAMEA9800575	country		India	per_sample
PRJEB29740	SAMEA9800577	country		India	per_sample
PRJEB29740	SAMEA9800584	country		India	per_sample
PRJEB29740	SAMEA9800589	country		India	per_sample
PRJEB29740	SAMEA9800590	country		India	per_sample
PRJEB29740	SAMEA9800593	country		India	per_sample
PRJEB29740	SAMEA9800594	country		India	per_sample
PRJEB29740	SAMEA9800460	country		India	per_sample
PRJEB29740	SAMEA9800462	country		India	per_sample
PRJEB29740	SAMEA9800467	country		India	per_sample
PRJEB29740	SAMEA9800466	country		India	per_sample
PRJEB29740	SAMEA9800606	country		India	per_sample
PRJEB29740	SAMEA9800471	country		India	per_sample
PRJEB29740	SAMEA9800470	country		India	per_sample
PRJEB29740	SAMEA9800607	country		India	per_sample
PRJEB29740	SAMEA9800472	country		India	per_sample
PRJEB29740	SAMEA9800475	country		India	per_sample
PRJEB29740	SAMEA9800612	country		India	per_sample
PRJEB29740	SAMEA9800479	country		India	per_sample
PRJEB29740	SAMEA9800613	country		India	per_sample
PRJEB29740	SAMEA9800478	country		India	per_sample
PRJEB29740	SAMEA9800616	country		India	per_sample
PRJEB29740	SAMEA9800484	country		India	per_sample
PRJEB29740	SAMEA9800485	country		India	whole_field
PRJEB29740	SAMEA9800486	country		India	per_sample
PRJEB29740	SAMEA9800622	country		India	per_sample
PRJEB29740	SAMEA9800492	country		India	per_sample
PRJEB29740	SAMEA9800489	country		India	per_sample
PRJEB29740	SAMEA9800493	country		India	per_sample
PRJEB29740	SAMEA9800495	country		India	per_sample
PRJEB29740	SAMEA9800496	country		India	per_sample
PRJEB29740	SAMEA9800497	country		India	per_sample
PRJEB29740	SAMEA9800499	country		India	per_sample
PRJEB29740	SAMEA9800358	country		India	per_sample
PRJEB29740	SAMEA9800500	country		India	per_sample
PRJEB29740	SAMEA9800357	country		India	per_sample
PRJEB29740	SAMEA9800504	country		India	per_sample
PRJEB29740	SAMEA9800375	country		India	per_sample
PRJEB29740	SAMEA9800360	country		India	per_sample
PRJEB29740	SAMEA9800377	country		India	per_sample
PRJEB29740	SAMEA9800362	country		India	per_sample
PRJEB29740	SAMEA9800573	country		India	per_sample
PRJEB29740	SAMEA9800576	country		India	whole_field
PRJEB29740	SAMEA9800378	country		India	per_sample
PRJEB29740	SAMEA9800380	country		India	per_sample
PRJEB29740	SAMEA9800381	country		India	per_sample
PRJEB29740	SAMEA9800581	country		India	per_sample
PRJEB29740	SAMEA9800385	country		India	whole_field
PRJEB29740	SAMEA9800578	country		India	per_sample
PRJEB29740	SAMEA9800387	country		India	whole_field
PRJEB29740	SAMEA9800579	country		India	per_sample
PRJEB29740	SAMEA9800392	country		India	per_sample
PRJEB29740	SAMEA9800580	country		India	per_sample
PRJEB29740	SAMEA9800371	country		India	per_sample
PRJEB29740	SAMEA9800394	country		India	per_sample
PRJEB29740	SAMEA9800398	country		India	per_sample
PRJEB29740	SAMEA9800383	country		India	per_sample
PRJEB29740	SAMEA9800382	country		India	per_sample
PRJEB29740	SAMEA9800596	country		India	per_sample
PRJEB29740	SAMEA9800595	country		India	per_sample
PRJEB29740	SAMEA9800406	country		India	per_sample
PRJEB29740	SAMEA9800416	country		India	whole_field
PRJEB29740	SAMEA9800600	country		India	per_sample
PRJEB29740	SAMEA9800599	country		India	per_sample
PRJEB29740	SAMEA9800417	country		India	per_sample
PRJEB29740	SAMEA9800603	country		India	per_sample
PRJEB29740	SAMEA9800421	country		India	per_sample
PRJEB29740	SAMEA9800610	country		India	per_sample
PRJEB29740	SAMEA9800427	country		India	per_sample
PRJEB29740	SAMEA9800608	country		India	per_sample
PRJEB29740	SAMEA9800428	country		India	per_sample
PRJEB29740	SAMEA9800430	country		India	whole_field
PRJEB29740	SAMEA9800614	country		India	whole_field
PRJEB29740	SAMEA9800431	country		India	per_sample
PRJEB29740	SAMEA9800618	country		India	per_sample
PRJEB29740	SAMEA9800433	country		India	per_sample
PRJEB29740	SAMEA9800432	country		India	per_sample
PRJEB29740	SAMEA9800623	country		India	per_sample
PRJEB29740	SAMEA9800465	country		India	per_sample
PRJEB29740	SAMEA9800438	country		India	per_sample
PRJEB29740	SAMEA9800468	country		India	per_sample
PRJEB29740	SAMEA9800437	country		India	whole_field
PRJEB29740	SAMEA9800473	country		India	per_sample
PRJEB29740	SAMEA9800440	country		India	whole_field
PRJEB29740	SAMEA9800474	country		India	per_sample
PRJEB29740	SAMEA9800476	country		India	whole_field
PRJEB29740	SAMEA9800441	country		India	whole_field
PRJEB29740	SAMEA9800363	country		India	whole_field
PRJEB29740	SAMEA9800483	country		India	per_sample
PRJEB29740	SAMEA9800364	country		India	whole_field
PRJEB29740	SAMEA9800366	country		India	whole_field
PRJEB29740	SAMEA9800490	country		India	per_sample
PRJEB29740	SAMEA9800367	country		India	per_sample
PRJEB29740	SAMEA9800369	country		India	per_sample
PRJEB29740	SAMEA9800447	country		India	whole_field
PRJEB29740	SAMEA9800373	country		India	per_sample
PRJEB29740	SAMEA9800449	country		India	whole_field
PRJEB29740	SAMEA9800396	country		India	whole_field
PRJEB29740	SAMEA9800569	country		India	per_sample
PRJEB29740	SAMEA9800374	country		India	per_sample
PRJEB29740	SAMEA9800586	country		India	whole_field
PRJEB29740	SAMEA9800397	country		India	per_sample
PRJEB29740	SAMEA9800454	country		India	per_sample
PRJEB29740	SAMEA9800376	country		India	per_sample
PRJEB29740	SAMEA9800388	country		India	per_sample
PRJEB29740	SAMEA9800609	country		India	whole_field
PRJEB29740	SAMEA9800405	country		India	per_sample
PRJEB29740	SAMEA9800615	country		India	whole_field
PRJEB29740	SAMEA9800390	country		India	per_sample
PRJEB29740	SAMEA9800620	country		India	whole_field
PRJEB29740	SAMEA9800407	country		India	per_sample
PRJEB29740	SAMEA9800624	country		India	per_sample
PRJEB29740	SAMEA9800399	country		India	whole_field
PRJEB29740	SAMEA9800412	country		India	per_sample
PRJEB29740	SAMEA9800418	country		India	per_sample
PRJEB29740	SAMEA9800420	country		India	per_sample
PRJEB29740	SAMEA9800425	country		India	per_sample
PRJEB29740	SAMEA9800434	country		India	per_sample
PRJEB29740	SAMEA9800442	country		India	per_sample
PRJEB29740	SAMEA9800435	country		India	per_sample
PRJEB29740	SAMEA9800450	country		India	per_sample
