study_accession	paper_short_title	n_isolates	fold	seed
PRJNA655785		1	sub10	
PRJNA181052		1	sub10	
PRJNA986296		1	sub10	
PRJNA181051		1	sub10	
PRJNA181050		1	sub10	
PRJDB5295		1	sub10	
PRJNA187283		1	sub10	
PRJNA660205		1	sub10	
PRJNA994715		1	sub10	
PRJNA187290		1	sub10	
PRJEB27400		1	sub10	
PRJDB10686		1	sub10	
PRJNA637815		1	sub10	
PRJNA638288		1	sub10	
PRJEB2779		1	sub10	
PRJNA187289		1	sub10	
PRJNA187288		1	sub10	
PRJNA187284		1	sub10	
PRJNA641130		1	sub10	
PRJEB2794		1	sub10	
PRJNA187287		1	sub10	
PRJNA641176		1	sub10	
PRJNA187286		1	sub10	
PRJNA187285		1	sub10	
PRJNA642369		1	sub10	
PRJNA176123		1	sub10	
PRJNA660495		1	sub10	
PRJNA699239		1	sub10	
PRJEB24638		1	sub10	
PRJNA681360		1	sub10	
PRJNA685932		1	sub10	
PRJEB29743		1	sub10	
PRJDB2655		1	sub10	
PRJNA981489		1	sub10	
PRJNA687411		1	sub10	
PRJNA688543		1	sub10	
PRJNA689622		1	sub10	
PRJNA678637		1	sub10	
PRJEB30582		1	sub10	
PRJNA690555		1	sub10	
PRJNA690982		1	sub10	
PRJNA1122522		1	sub10	
PRJNA1107790		1	sub10	
PRJNA695302		1	sub10	
PRJNA697840		1	sub10	
PRJEB24735		1	sub10	
PRJNA676183		1	sub10	
PRJNA663005		1	sub10	
PRJNA169453		1	sub10	
PRJNA176122		1	sub10	
PRJNA173233		1	sub10	
PRJNA985548		1	sub10	
PRJNA169456		1	sub10	
PRJNA169455		1	sub10	
PRJNA169454		1	sub10	
PRJNA670665		1	sub10	
PRJNA168337		1	sub10	
PRJNA676113		1	sub10	
PRJNA985218		1	sub10	
PRJNA165913		1	sub10	
PRJNA674482		1	sub10	
PRJNA164933		1	sub10	
PRJNA161277		1	sub10	
PRJNA1138264		1	sub10	
PRJEB2968		1	sub10	
PRJNA1037684		1	sub10	
PRJNA754822		1	sub10	
PRJNA950449		1	sub10	
PRJEB22207		1	sub10	
PRJNA902659		1	sub10	
PRJEB61934		1	sub10	
PRJNA898399		1	sub10	
PRJNA801117		1	sub10	
PRJEB61017		1	sub10	
PRJEB60914		1	sub10	
PRJNA896856		1	sub10	
PRJNA896788		1	sub10	
PRJNA803341		1	sub10	
PRJNA805266		1	sub10	
PRJNA807502		1	sub10	
PRJNA807804		1	sub10	
PRJNA809128		1	sub10	
PRJNA894513		1	sub10	
PRJDB15144		1	sub10	
PRJNA811351		1	sub10	
PRJNA811370		1	sub10	
PRJEB59061		1	sub10	
PRJNA892093		1	sub10	
PRJEB62871		1	sub10	
PRJEB38960		1	sub10	
PRJEB19331		1	sub10	
PRJNA792094		1	sub10	
PRJNA791929		1	sub10	
PRJEB71714		1	sub10	
PRJNA791933		1	sub10	
PRJNA791937		1	sub10	
PRJNA791940		1	sub10	
PRJNA791951		1	sub10	
PRJNA791957		1	sub10	
PRJNA791958		1	sub10	
PRJNA792103		1	sub10	
PRJEB38951		1	sub10	
PRJNA792129		1	sub10	
PRJNA792139		1	sub10	
PRJNA792142		1	sub10	
PRJNA793126		1	sub10	
PRJEB6657		1	sub10	
PRJNA795853		1	sub10	
PRJEB66292		1	sub10	
PRJEB6416		1	sub10	
PRJNA891646		1	sub10	
PRJNA887604		1	sub10	
PRJNA1037605		1	sub10	
PRJEB55904		1	sub10	
PRJNA845367		1	sub10	
PRJDB12737		1	sub10	
PRJNA847041		1	sub10	
PRJEB21131		1	sub10	
PRJNA882783		1	sub10	
PRJEB21201		1	sub10	
PRJEB22119		1	sub10	
PRJNA851948		1	sub10	
PRJEB46496		1	sub10	
PRJEB4649		1	sub10	
PRJNA853708		1	sub10	
PRJNA855340		1	sub10	
PRJNA877288		1	sub10	
PRJEB43975		1	sub10	
PRJEB41234		1	sub10	
PRJNA861987		1	sub10	
PRJNA862318		1	sub10	
PRJEB21566		1	sub10	
PRJNA872534		1	sub10	
PRJEB48936		1	sub10	
PRJNA883008		1	sub10	
PRJNA841267		1	sub10	
PRJNA825651		1	sub10	
PRJEB55873		1	sub10	
PRJNA818256		1	sub10	
PRJNA818522		1	sub10	
PRJNA819549		1	sub10	
PRJNA887375		1	sub10	
PRJEB20135		1	sub10	
PRJEB2215		1	sub10	
PRJEB20557		1	sub10	
PRJNA886974		1	sub10	
PRJDB13052		1	sub10	
PRJNA885384		1	sub10	
PRJEB51164		1	sub10	
PRJEB20782		1	sub10	
PRJDB11476		1	sub10	
PRJEB40149		1	sub10	
PRJEB20897		1	sub10	
PRJEB49509		1	sub10	
PRJNA839526		1	sub10	
PRJNA791700		1	sub10	
PRJEB38863		1	sub10	
PRJEB38602		1	sub10	
PRJEB73590		1	sub10	
PRJNA754802		1	sub10	
PRJNA754804		1	sub10	
PRJNA754806		1	sub10	
PRJNA754809		1	sub10	
PRJNA754810		1	sub10	
PRJNA754811		1	sub10	
PRJNA754812		1	sub10	
PRJNA754813		1	sub10	
PRJNA754819		1	sub10	
PRJNA870312		1	sub10	
PRJNA754824		1	sub10	
PRJNA754827		1	sub10	
PRJNA754831		1	sub10	
PRJEB35084		1	sub10	
PRJNA939005		1	sub10	
PRJNA754832		1	sub10	
PRJNA756309		1	sub10	
PRJNA756469		1	sub10	
PRJNA757181		1	sub10	
PRJNA754801		1	sub10	
PRJNA754800		1	sub10	
PRJNA753708		1	sub10	
PRJNA1023395		1	sub10	
PRJDB10890		1	sub10	
PRJNA739732		1	sub10	
PRJNA740140		1	sub10	
PRJNA1029537		1	sub10	
PRJNA1026593		1	sub10	
PRJNA1023975		1	sub10	
PRJNA948355		1	sub10	
PRJEB34174		1	sub10	
PRJEB34232		1	sub10	
PRJNA939354		1	sub10	
PRJNA947381		1	sub10	
PRJNA946148		1	sub10	
PRJEB34557		1	sub10	
PRJNA746609		1	sub10	
PRJNA1021554		1	sub10	
PRJNA1021015		1	sub10	
PRJNA749581		1	sub10	
PRJNA750627		1	sub10	
PRJNA936823		1	sub10	
PRJNA931810		1	sub10	
PRJDB2159		1	sub10	
PRJNA784589		1	sub10	
PRJEB8575		1	sub10	
PRJEB8559		1	sub10	
PRJEB8303		1	sub10	
PRJNA777034		1	sub10	
PRJNA917297		1	sub10	
PRJEB37610		1	sub10	
PRJNA779558		1	sub10	
PRJEB38601		1	sub10	
PRJNA785542		1	sub10	
PRJEB36913		1	sub10	
PRJNA78565		1	sub10	
PRJNA78567		1	sub10	
PRJNA786472		1	sub10	
PRJDB17100		1	sub10	
PRJNA787392		1	sub10	
PRJNA187291		1	sub10	
PRJNA787923		1	sub10	
PRJEB74142		1	sub10	
PRJNA922098		1	sub10	
PRJNA774259		1	sub10	
PRJNA1004534		1	sub10	
PRJEB9644		1	sub10	
PRJNA758781		1	sub10	
PRJNA759343		1	sub10	
PRJNA930879		1	sub10	
PRJNA760944		1	sub10	
PRJNA761099		1	sub10	
PRJNA762203		1	sub10	
PRJEB9692		1	sub10	
PRJNA929966		1	sub10	
PRJNA763348		1	sub10	
PRJDB11111		1	sub10	
PRJDB2133		1	sub10	
PRJEB36000		1	sub10	
PRJEB9601		1	sub10	
PRJDB1836		1	sub10	
PRJEB9173		1	sub10	
PRJEB8768		1	sub10	
PRJEB18589		1	sub10	
PRJNA773853		1	sub10	
PRJNA234134		1	sub10	
PRJNA604671		1	sub10	
PRJNA187292		1	sub10	
PRJNA234108		1	sub10	
PRJNA279656		1	sub10	
PRJNA279657		1	sub10	
PRJNA279669		1	sub10	
PRJNA279671		1	sub10	
PRJNA279672		1	sub10	
PRJNA284365		1	sub10	
PRJNA234114		1	sub10	
PRJNA234113		1	sub10	
PRJNA234112		1	sub10	
PRJNA234111		1	sub10	
PRJNA292403		1	sub10	
PRJNA234110		1	sub10	
PRJNA234109		1	sub10	
PRJNA234107		1	sub10	
PRJNA279650		1	sub10	
PRJNA293224		1	sub10	
PRJNA233724		1	sub10	
PRJNA296147		1	sub10	
PRJNA233696		1	sub10	
PRJNA223655		1	sub10	
PRJNA219300		1	sub10	
PRJNA219299		1	sub10	
PRJNA303003		1	sub10	
PRJEB14050		1	sub10	
PRJNA219298		1	sub10	
PRJNA219297		1	sub10	
PRJNA310023		1	sub10	
PRJNA312243		1	sub10	
PRJNA279655		1	sub10	
PRJNA279619		1	sub10	
PRJNA265256		1	sub10	
PRJNA265275		1	sub10	
PRJNA265258		1	sub10	
PRJNA265259		1	sub10	
PRJNA265260		1	sub10	
PRJNA265261		1	sub10	
PRJNA265262		1	sub10	
PRJNA265263		1	sub10	
PRJNA265264		1	sub10	
PRJNA265265		1	sub10	
PRJNA265266		1	sub10	
PRJNA265267		1	sub10	
PRJNA234119		1	sub10	
PRJNA265269		1	sub10	
PRJNA265270		1	sub10	
PRJNA265347		1	sub10	
PRJNA279611		1	sub10	
PRJNA234118		1	sub10	
PRJNA269826		1	sub10	
PRJNA269833		1	sub10	
PRJNA269877		1	sub10	
PRJNA269879		1	sub10	
PRJNA269915		1	sub10	
PRJNA234117,PRJNA201967		1	sub10	
PRJEB14232		1	sub10	
PRJNA272089		1	sub10	
PRJNA275974		1	sub10	
PRJNA234116		1	sub10	
PRJEB14213		1	sub10	
PRJNA234115		1	sub10	
PRJNA312296		1	sub10	
PRJNA219296		1	sub10	
PRJNA314324		1	sub10	
PRJNA380388		1	sub10	
PRJNA219268		1	sub10	
PRJNA219267		1	sub10	
PRJNA356818		1	sub10	
PRJNA357339		1	sub10	
PRJNA357350		1	sub10	
PRJNA357543		1	sub10	
PRJNA219266		1	sub10	
PRJNA360179		1	sub10	
PRJNA219265		1	sub10	
PRJNA219262		1	sub10	
