study_accession	paper_short_title	n_isolates	fold	seed	ena_total_samples	ena_total_runs	ena_taxon_samples	n_child_studies	umbrella_suspected	by_scientific_name	fetch_status
PRJNA847761		3	sub10		3		3				proxy_rowcount
PRJEB20997		3	sub10		3		3				proxy_rowcount
PRJNA604100		3	sub10		3		3				proxy_rowcount
PRJNA615899		3	sub10		3		3				proxy_rowcount
PRJNA1125279		3	sub10		3		3				proxy_rowcount
PRJNA645311		3	sub10		3		3				proxy_rowcount
PRJNA607307		3	sub10		3		3				proxy_rowcount
PRJEB55839		3	sub10		3		3				proxy_rowcount
PRJNA186035		3	sub10		3		3				proxy_rowcount
PRJNA374677		3	sub10		3		3				proxy_rowcount
PRJNA1029998		3	sub10		3		3				proxy_rowcount
PRJEB63064		3	sub10		3		3				proxy_rowcount
PRJNA1099652		3	sub10		3		3				proxy_rowcount
PRJNA512885		3	sub10		3		3				proxy_rowcount
PRJNA746285		3	sub10		3		3				proxy_rowcount
PRJNA746575		3	sub10		3		3				proxy_rowcount
PRJNA508495		3	sub10		3		3				proxy_rowcount
PRJNA730402		3	sub10		3		3				proxy_rowcount
PRJNA1020811		3	sub10		3		3				proxy_rowcount
PRJNA482007		3	sub10		3		3				proxy_rowcount
PRJNA481356		3	sub10		3		3				proxy_rowcount
PRJNA534306		3	sub10		3		3				proxy_rowcount
PRJNA477326		3	sub10		3		3				proxy_rowcount
PRJDB9688		3	sub10		3		3				proxy_rowcount
PRJNA768347		3	sub10		3		3				proxy_rowcount
PRJNA717003		3	sub10		3		3				proxy_rowcount
PRJNA1086703		3	sub10		3		3				proxy_rowcount
PRJNA774508		3	sub10		3		3				proxy_rowcount
PRJEB12513		3	sub10		3		3				proxy_rowcount
PRJNA450215		3	sub10		3		3				proxy_rowcount
PRJNA1100498		3	sub10		3		3				proxy_rowcount
PRJNA553302		3	sub10		3		3				proxy_rowcount
PRJEB8302		3	sub10		3		3				proxy_rowcount
PRJDB17235		3	sub10		3		3				proxy_rowcount
PRJNA687343		3	sub10		3		3				proxy_rowcount
PRJNA432294		3	sub10		3		3				proxy_rowcount
PRJEB74697		3	sub10		3		3				proxy_rowcount
PRJNA1031676		3	sub10		3		3				proxy_rowcount
PRJNA686374		3	sub10		3		3				proxy_rowcount
PRJEB12361		3	sub10		3		3				proxy_rowcount
PRJNA392853		3	sub10		3		3				proxy_rowcount
PRJNA793783		3	sub10		3		3				proxy_rowcount
PRJEB6921		3	sub10		3		3				proxy_rowcount
PRJEB73531		3	sub10		3		3				proxy_rowcount
PRJNA635912		3	sub10		3		3				proxy_rowcount
PRJNA243331		3	sub10		3		3				proxy_rowcount
PRJNA877287		3	sub10		3		3				proxy_rowcount
PRJEB24657		3	sub10		3		3				proxy_rowcount
PRJNA248593		3	sub10		3		3				proxy_rowcount
PRJNA906295		3	sub10		3		3				proxy_rowcount
PRJNA907796		3	sub10		3		3				proxy_rowcount
PRJNA910533		3	sub10		3		3				proxy_rowcount
PRJEB27805		3	sub10		3		3				proxy_rowcount
PRJNA930651		3	sub10		3		3				proxy_rowcount
PRJEB31941		3	sub10		3		3				proxy_rowcount
PRJEB30066		3	sub10		3		3				proxy_rowcount
PRJNA912639		3	sub10		3		3				proxy_rowcount
PRJNA931241		3	sub10		3		3				proxy_rowcount
PRJNA896194		3	sub10		3		3				proxy_rowcount
PRJNA892272		3	sub10		3		3				proxy_rowcount
PRJNA917544		3	sub10		3		3				proxy_rowcount
PRJDB7066		2	sub10		2		2				proxy_rowcount
PRJNA383436		2	sub10		2		2				proxy_rowcount
PRJNA543860		2	sub10		2		2				proxy_rowcount
PRJEB35623		2	sub10		2		2				proxy_rowcount
PRJNA793885		2	sub10		2		2				proxy_rowcount
PRJNA596289		2	sub10		2		2				proxy_rowcount
PRJEB14648		2	sub10		2		2				proxy_rowcount
PRJDB9124		2	sub10		2		2				proxy_rowcount
PRJNA530794		2	sub10		2		2				proxy_rowcount
PRJNA392935		2	sub10		2		2				proxy_rowcount
PRJNA393721		2	sub10		2		2				proxy_rowcount
