sample_accession,collection_date,country,HOST,experiment_alias,isolation_source,study_accession,run_accession
SAMEA9449538,2016,Zambia,Human,ERX5982436,Blood,PRJEB46513,ERR6350861
SAMN15374766,2015-12,Malawi,Human,SRX8621134,,PRJNA641987,SRR12095312
SAMN15374760,2014-02,Malawi,Human,SRX8621142,,PRJNA641987,SRR12095304
SAMN15374768,2015-12,Malawi,Human,SRX8621136,,PRJNA641987,SRR12095310
SAMN15374763,2014-11,Malawi,Human,SRX8621131,,PRJNA641987,SRR12095315
SAMN15374758,2013-10,Malawi,Human,SRX8621140,,PRJNA641987,SRR12095306
SAMN15374764,2015-06,Malawi,Human,SRX8621132,,PRJNA641987,SRR12095314
SAMN15374753,2012-03,Malawi,Human,SRX8621129,,PRJNA641987,SRR12095317
SAMN15374765,2015-11,Malawi,Human,SRX8621133,,PRJNA641987,SRR12095313
SAMN15374759,2013-11,Malawi,Human,SRX8621141,,PRJNA641987,SRR12095305
SAMN15374762,2015-02,Malawi,Human,SRX8621144,,PRJNA641987,SRR12095302
SAMN15374757,2013-09,Malawi,Human,SRX8621139,,PRJNA641987,SRR12095307
SAMN15374767,2015-10,Malawi,Human,SRX8621135,,PRJNA641987,SRR12095311
SAMN15374756,2012-09,Malawi,Human,SRX8621138,,PRJNA641987,SRR12095308
SAMN15374761,2014-02,Malawi,Human,SRX8621143,,PRJNA641987,SRR12095303
SAMN15374755,2012-08,Malawi,Human,SRX8621137,,PRJNA641987,SRR12095309
SAMN15890924,2019,India,Human,SRX8997407,blood sample from neonates,PRJNA548120,SRR12506228
SAMN15890870,2017,India,Human,SRX8997380,blood sample from neonates,PRJNA548120,SRR12506201
SAMN17051552,14/04/2014,India,Human,SRX9669670,blood,PRJNA684006,SRR13237632
SAMN17051553,16/03/2016,India,Human,SRX9669671,blood,PRJNA684006,SRR13237631
SAMN16287939,2019,India,Human,SRX9210857,blood sample from neonates,PRJNA548120,SRR12737984
SAMN15808039,2017,India,Human,SRX8938116,blood sample from neonates,PRJNA548120,SRR12443571
SAMEA7472306,2015-17,Ethiopia,Human,ERX4785366,Blood,PRJEB33565,ERR4920457
SAMEA9449608,2016,Zambia,Human,ERX5982504,Blood,PRJEB46513,ERR6350929
SAMEA2609431,2010/2012,Pakistan,Human,ERX718389,Blood,PRJEB6574,ERR775510
SAMEA2609498,2010/2012,Pakistan,Human,ERX718515,Blood,PRJEB6574,ERR775636
