sample_accession,collection_date,country,HOST,experiment_alias,isolation_source,study_accession,run_accession
SAMEA7472453,2015-17,Nigeria,Human,ERX4785425,Blood,PRJEB33565,ERR4920516
SAMEA7472301,2015-17,Ethiopia,Human,ERX4785361,Blood,PRJEB33565,ERR4920452
SAMEA7472345,2015-17,India,Human,ERX4785396,Blood,PRJEB33565,ERR4920487
SAMEA7472314,2015-17,Ethiopia,Human,ERX4785372,Blood,PRJEB33565,ERR4920463
SAMEA7472879,2015-17,Rwanda,Human,ERX4785512,Blood,PRJEB33565,ERR4920603
SAMEA7472342,2015-17,India,Human,ERX4785395,Blood,PRJEB33565,ERR4920486
SAMEA7472473,2015-17,Nigeria,Human,ERX4785434,Blood,PRJEB33565,ERR4920525
SAMEA7472864,2015-17,Rwanda,Human,ERX4785504,Blood,PRJEB33565,ERR4920595
SAMEA7472229,2015-17,Ethiopia,Human,ERX4785309,Blood,PRJEB33565,ERR4920400
SAMEA7472244,2015-17,Ethiopia,Human,ERX4785322,Blood,PRJEB33565,ERR4920413
SAMEA7472258,2015-17,Ethiopia,Human,ERX4785333,Blood,PRJEB33565,ERR4920424
SAMEA7472891,2015-17,Rwanda,Human,ERX4785515,Blood,PRJEB33565,ERR4920606
SAMEA7472293,2015-17,Ethiopia,Human,ERX4785355,Blood,PRJEB33565,ERR4920446
SAMEA7472231,2015-17,Ethiopia,Human,ERX4785310,Blood,PRJEB33565,ERR4920401
SAMEA7472336,2015-17,Ethiopia,Human,ERX4785392,Blood,PRJEB33565,ERR4920483
SAMEA7472225,2015-17,Ethiopia,Human,ERX4785305,Blood,PRJEB33565,ERR4920396
SAMEA7472609,2015-17,Pakistan,Human,ERX4785473,Blood,PRJEB33565,ERR4920564
SAMEA7472939,2015-17,South Africa,Human,ERX4785534,Blood,PRJEB33565,ERR4920625
SAMEA7472285,2015-17,Ethiopia,Human,ERX4785349,Blood,PRJEB33565,ERR4920440
SAMEA7472434,2015-17,Nigeria,Human,ERX4785419,Blood,PRJEB33565,ERR4920510
SAMEA7472517,2015-17,Nigeria,Human,ERX4785456,Blood,PRJEB33565,ERR4920547
SAMEA7472935,2015-17,South Africa,Human,ERX4785533,Blood,PRJEB33565,ERR4920624
SAMEA7472462,2015-17,Nigeria,Human,ERX4785428,Blood,PRJEB33565,ERR4920519
SAMEA7472503,2015-17,Nigeria,Human,ERX4785447,Blood,PRJEB33565,ERR4920538
SAMEA7472257,2015-17,Ethiopia,Human,ERX4785332,Blood,PRJEB33565,ERR4920423
SAMEA7472509,2015-17,Nigeria,Human,ERX4785452,Blood,PRJEB33565,ERR4920543
SAMEA7472056,2015-17,Bangladesh,Human,ERX4785284,Blood,PRJEB33565,ERR4920375
SAMEA7472589,2015-17,Pakistan,Human,ERX4785469,Blood,PRJEB33565,ERR4920560
SAMEA7472646,2015-17,Pakistan,Human,ERX4785481,Blood,PRJEB33565,ERR4920572
SAMEA7472292,2015-17,Ethiopia,Human,ERX4785354,Blood,PRJEB33565,ERR4920445
SAMEA7472313,2015-17,Ethiopia,Human,ERX4785371,Blood,PRJEB33565,ERR4920462
SAMEA7472297,2015-17,Ethiopia,Human,ERX4785359,Blood,PRJEB33565,ERR4920450
SAMEA7472902,2015-17,Rwanda,Human,ERX4785519,Blood,PRJEB33565,ERR4920610
SAMEA7472511,2015-17,Nigeria,Human,ERX4785453,Blood,PRJEB33565,ERR4920544
SAMEA7472477,2015-17,Nigeria,Human,ERX4785436,Blood,PRJEB33565,ERR4920527
SAMEA7472295,2015-17,Ethiopia,Human,ERX4785357,Blood,PRJEB33565,ERR4920448
