study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB28400	SAMEA5378034	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378045	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378049	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378051	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378053	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378056	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378098	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378095	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378124	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378132	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378141	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378143	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378147	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378149	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378150	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378152	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378155	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378162	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378170	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378175	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378196	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378220	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378222	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377652	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377673	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377683	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377689	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377692	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377705	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377711	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377719	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377723	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377728	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377732	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377736	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377738	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377739	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377743	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377745	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377751	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377757	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377762	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377775	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377778	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377794	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377799	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377802	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377809	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378231	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378236	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378238	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378242	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378248	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378251	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378262	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378263	country		Viet Nam	whole_field	
