study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB50545	SAMEA12999637	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104451 (rescued 'human')
PRJEB50545	SAMEA12999639	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104453 (rescued 'human')
PRJEB50545	SAMEA12999645	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104460 (rescued 'human')
PRJEB50545	SAMEA12999642	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104457 (rescued 'human')
PRJEB50545	SAMEA12999643	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104458 (rescued 'human')
PRJEB50545	SAMEA12999730	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104091 (rescued 'human')
PRJEB50545	SAMEA12999732	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104093 (rescued 'human')
PRJEB50545	SAMEA12999758	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104893 (rescued 'human')
PRJEB50545	SAMEA12999759	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104894 (rescued 'human')
PRJEB50545	SAMEA12999734	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104095 (rescued 'human')
PRJEB50545	SAMEA12999735	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104096 (rescued 'human')
PRJEB50545	SAMEA12999760	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104902 (rescued 'human')
PRJEB50545	SAMEA12999741	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104102 (rescued 'human')
PRJEB50545	SAMEA12999740	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104101 (rescued 'human')
PRJEB50545	SAMEA12999743	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104104 (rescued 'human')
PRJEB50545	SAMEA12999744	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104105 (rescued 'human')
PRJEB50545	SAMEA12999746	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104107 (rescued 'human')
PRJEB50545	SAMEA12999747	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104108 (rescued 'human')
PRJEB50545	SAMEA12999752	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104850 (rescued 'human')
PRJEB50545	SAMEA12999756	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104854 (rescued 'human')
PRJEB50545	SAMEA12999757	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104855 (rescued 'human')
PRJEB50545	SAMEA12999891	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104692 (rescued 'human')
PRJEB50545	SAMEA12999894	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104776 (rescued 'human')
PRJEB50545	SAMEA12999895	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104777 (rescued 'human')
PRJEB50545	SAMEA12999899	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104903 (rescued 'human')
PRJEB50545	SAMEA12999896	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104778 (rescued 'human')
PRJEB50545	SAMEA12999502	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-IMI-103616 (rescued 'human')
PRJEB50545	SAMEA12999506	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104044 (rescued 'human')
PRJEB50545	SAMEA12999507	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104045 (rescued 'human')
PRJEB50545	SAMEA12999513	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104783 (rescued 'human')
PRJEB50545	SAMEA12999512	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104782 (rescued 'human')
PRJNA267549	SAMN03197861	isolation_source		URN	per_sample	pgen.1005413.s012.xlsx:659_KOXY
PRJNA267549	SAMN03197629	isolation_source		EYE	per_sample	pgen.1005413.s012.xlsx:436_KPNE
PRJNA267549	SAMN03197212	isolation_source		SPUT	per_sample	pgen.1005413.s012.xlsx:1246_KOXY
PRJNA267549	SAMN03197936	isolation_source		SPUTIN	per_sample	pgen.1005413.s012.xlsx:731_KPNE
PRJNA267549	SAMN03198148	isolation_source		BAL	per_sample	pgen.1005413.s012.xlsx:93_SDYS
PRJNA267549	SAMN03197209	isolation_source		URN	per_sample	pgen.1005413.s012.xlsx:1243_CKOS
PRJNA267549	SAMN03197386	isolation_source		URN	per_sample	pgen.1005413.s012.xlsx:194_KPNE
PRJNA267549	SAMN03197007	isolation_source		BLUD	per_sample	pgen.1005413.s012.xlsx:1041_KPNE
PRJNA267549	SAMN03197716	isolation_source		SPUT	per_sample	pgen.1005413.s012.xlsx:521_SSON
PRJNA267549	SAMN03197719	isolation_source		BAL	per_sample	pgen.1005413.s012.xlsx:524_SBOY
PRJNA267549	SAMN03197855	isolation_source		SPUT	per_sample	pgen.1005413.s012.xlsx:653_KVAR
PRJNA267549	SAMN03198006	isolation_source		BLUD	per_sample	pgen.1005413.s012.xlsx:793_SHAE
PRJNA267549	SAMN03197874	isolation_source		FLUID	per_sample	pgen.1005413.s012.xlsx:671_KVAR
PRJNA267549	SAMN03197947	isolation_source		URN	per_sample	pgen.1005413.s012.xlsx:741_KPNE
PRJNA267549	SAMN03197949	isolation_source		TASP	per_sample	pgen.1005413.s012.xlsx:743_KPNE
PRJNA267549	SAMN03197962	isolation_source		URN	per_sample	pgen.1005413.s012.xlsx:755.rep1_KPNE
PRJNA267549	SAMN03197963	isolation_source		URN	per_sample	pgen.1005413.s012.xlsx:755.rep2_KPNE
PRJNA267549	SAMN03198063	isolation_source		CSFPC	per_sample	pgen.1005413.s012.xlsx:855_SHAE
