paper_title,paper_short_title,paper_link,Curator,kleb_assemblies_in_paper,isolates_in_study,study_accessions,sample_selection,death_metadata,newborn_cohort,ATB_location_prop,ATB_collection_date_prop,ATB_isolation_source_prop,ATB_host_prop,location_added,date_added,source_added,host_added,Outstanding issues with ready_to_merge file or checks of data,completeness_post_collation,metadata to check,Andres_to_chase,Free-text comments,has_AST_data,Isolation source details
Draft genome sequences of 148 Klebsiella pneumoniae species complex members from bovine and human hosts,human_and_bovine_culture_collection,https://journals.asm.org/doi/full/10.1128/mra.00132-24,Aaron,148,148,PRJNA1052047,surveillance,,patient age not provided,1,1,1,1,,,,,,,,,,,
"Emergence and persistent spread of carbapenemase-producing Klebsiella pneumoniae high-risk clones in Greek hospitals, 2013 to 2022",greek_cpe,https://pmc.ncbi.nlm.nih.gov/articles/PMC10668257/,Aaron,142,141,PRJEB64895,AMR,,"78% from adults > 60 years old, others are unclear",1,1,0,0,,,unavailable,human,,,,probably not worth doing,Paper is on Greek Klebsiella more broadly including Euscape,no,
Identification of a novel CG307 sub-clade in third-generation-cephalosporin-resistant Klebsiella pneumoniae causing invasive infections in the USA Open Access,texan_esbl,https://www.microbiologyresearch.org/content/journal/mgen/10.1099/mgen.0.001201,Aaron,126,126,PRJNA648389,AMR,,patient age not provided,1,1,1,1,,,,,,,,,,yes,
Clinical and Genomic Characterization of a Cohort of Patients With Klebsiella pneumoniae Bloodstream Infection,boston_bsis,https://pmc.ncbi.nlm.nih.gov/articles/PMC10810715/,Aaron,108,108,PRJNA978102,surveillance,Includes mortality,"included patients from 2 months to 96 years, median of 60+, age info summarized in table 1, sample level age info not provided",1,1,1,1,,,,,,,,,,no,
International and regional spread of carbapenem-resistant Klebsiella pneumoniae in Europe,cpe_southern_europe,https://www.nature.com/articles/s41467-024-49349-z,Aaron,683,687,PRJEB63349,AMR,,patient age not provided,1,1,0,0,,,TRUE,TRUE,,,,,Isolation source is in the supplementary data,,
"Phylogeny, resistome and mobile genetic elements of emergent OXA-48 and OXA-245 Klebsiella pneumoniae clones circulating in Spain",blaoxa48_spain,https://pmc.ncbi.nlm.nih.gov/articles/PMC4790626/,Aaron,153,105,PRJEB1272,AMR,,patient age not provided,0.69,0.69,0.68,0.69,,,,,,,,,48 genomes not accounted for,blaOXA-48,Hospital outbreak sampling
A high-resolution genomic analysis of multidrug-resistant hospital outbreaks of Klebsiella pneumoniae,nepal_hospital_outbreak,https://pubmed.ncbi.nlm.nih.gov/25712531/,Aaron,121,89,PRJEB1800,AMR,Includes mortality,patient age not provided,0.74,0.74,0.74,0.74,,,,,unclear what the unaccounted samples/genomes are,,,,unaccounted for 31; might want to remove,,hospital outbreak in Nepal; including neonatals; partly on Pathogenwatch
Unpublished. Bioproject: Treatment_of_multi_drug_resistant_Gram_negative_bacterial_infections_using_capsule_depolymerase; Unpublished,capsule_depolymerase_study,,Aaron,183,422,PRJEB19226,AMR,,unclear,1,1,0,1,,,FALSE,,,,,"Potentially, if we find out who did the study that was done in 2018","Isolation source ""not available""; all strains are from Thailand",,
Predicting antimicrobial susceptibilities for Escherichia coli and Klebsiella pneumoniae isolates using whole genomic sequence data,oxfordshire_amr_prediction,https://pmc.ncbi.nlm.nih.gov/articles/PMC3772739/,Aaron,143,69,PRJEB1963,AMR plus control,,patient age not provided,0,0,0,0,TRUE,TRUE,TRUE,TRUE,ONLY 69 SAMPLES IN ATB,,,,numbers are off as Klebsiella is in the study title; all isolates are from Oxfordshire and were collected between 2008 and 2011; no AST data provided; all from blood cultures,"ESBLs (matched susceptible: 40S, 29 R)",Hospital isolates from Oxford University Hospitals NHS Trust
Unpublished,klebsiella_diversity_in_Argentina,https://www.ebi.ac.uk/ena/browser/view/PRJEB21081,Aaron,913,932,PRJEB21081,NaN,,unclear,0,0,0,0,TRUE,FALSE,FALSE,FALSE,"Added country, no other metadata available. ",,,check who set up this study; might be Nick Thomson; very old study,Argentina;,,
Unpublished; Bioproject title: Baby_Biome_Study_gastrointestinal_bacterial_genomes,baby_biomes_uk,https://www.nature.com/articles/s41467-021-26041-0,Aaron,234,805,PRJEB22252,NaN,,Name suggests neonates,1,1,1,1,,,,,,,,,age group likely babies given the title; might be worth exploring who did this study,,
